Slice 0:
106.090744 150.131302 0.932997
105.043320 150.962723 0.844991
97.611633 155.810196 0.875811
104.096725 155.826889 0.880321
105.452103 156.187393 0.916404
104.784531 156.188828 0.857517
97.168747 160.171951 0.906643
101.415421 160.737869 0.928320
103.224777 160.847275 0.935351
103.663956 160.507278 0.888679

Slice 3:
116.106613 80.142746 0.987101
131.287216 69.645950 0.987834
103.387924 70.598679 0.966116
153.048447 75.058884 0.961291
88.945969 76.775314 0.919916
180.738480 132.458359 0.845508
63.509262 128.679672 0.871212
213.085464 188.147385 0.932112
8.949509 182.087570 0.934626
144.317093 193.917923 0.921460
65.964447 149.927353 0.913469
160.223007 250.188522 0.840268
76.900696 250.238724 0.829755
135.495926 86.467270 0.207033
103.188950 85.292099 0.117415
149.333115 61.410690 0.226587
142.292435 62.044205 0.201876
125.821915 52.094513 0.351187
125.804855 52.284927 0.340348
111.903580 190.618393 0.260845
88.645447 79.047775 0.297061
88.466568 78.919052 0.286103
132.595901 60.006271 0.294282
89.747025 71.515060 0.977491
90.344467 77.600937 0.984144
91.793686 83.881241 0.990946
93.781982 89.694443 0.992020
97.048416 95.196335 0.975885
101.631607 99.872086 0.982623
107.124954 103.468307 0.983150
113.478043 105.421921 0.988625
120.134689 105.572006 1.014045
126.770096 104.304611 1.001493
133.051407 101.969620 0.972761
138.670425 98.806686 0.986379
143.511368 94.392899 0.985987
146.857834 88.799118 0.995494
149.007767 82.835587 0.976994
150.942429 76.128830 0.975005
151.070969 70.228897 0.970682
94.938278 65.658554 1.002676
97.944168 64.028122 1.000292
102.003952 63.482681 0.984489
106.304367 63.585281 0.989194
110.458237 64.112564 0.970305
122.853317 63.513046 0.960953
127.458328 62.677658 0.974641
132.327438 62.450821 0.959343
137.095535 63.003036 0.974208
140.912277 64.581467 0.999402
116.445694 69.637497 0.947805
116.147812 73.661850 0.982952
115.935013 77.230453 1.003491
115.999832 80.886703 1.000397
111.306870 84.830490 0.980934
113.709396 85.388046 1.003155
116.434982 85.589706 0.996021
119.250015 85.208481 1.002488
121.801529 84.567245 0.973186
98.497559 70.996597 0.985896
101.771194 69.956161 0.977338
105.691177 69.705795 0.981765
109.061356 70.733047 0.958543
105.627182 71.933121 0.991642
101.983017 72.127731 0.996073
124.926224 70.069168 0.955192
128.699112 68.817307 0.986055
133.063766 68.964767 0.994732
136.872757 69.904800 0.981958
132.960403 71.108261 0.988226
128.878403 71.059464 0.979342
108.344742 93.167953 0.964054
111.386063 91.560776 0.994656
114.868698 90.657089 0.987729
116.553879 90.668808 0.976083
118.328995 90.536362 0.985416
122.642105 91.212570 0.991325
126.714279 92.525131 0.965375
123.900192 94.071518 0.979310
120.497299 95.224533 0.968984
116.897842 95.746323 0.974736
113.716019 95.562485 0.986797
110.879105 94.635727 0.982789
109.122513 93.192734 0.974254
112.783005 92.541611 0.994936
116.637680 92.215347 0.991821
121.191544 92.260849 0.993028
125.790634 92.603622 0.974365
121.343826 93.395370 0.984290
116.695602 93.728073 0.981449
112.769394 93.739853 0.987122
142.551437 193.792038 0.868780
131.112473 190.853134 0.839303
121.713821 188.369461 0.903482
113.431290 188.743149 0.872432
106.550949 190.381149 0.877283
115.300003 192.802719 0.897686
106.618301 194.324753 0.922192
102.080582 194.719284 0.992138
99.995621 194.825485 0.991657
116.406418 198.312851 0.851447
106.660507 199.575546 0.915064
102.289474 199.128922 0.976872
100.642990 198.489456 0.926972
118.337448 203.744705 0.897405
109.932236 204.387070 0.896502
105.832230 203.574478 0.927009
